base,id_registro,id_usuario,tipo_inconsistencia,descripcion,nivel,campo,valor_detectado,recomendacion
usuarios_mca,U020,U020,ID duplicado,El identificador del usuario aparece más de una vez en la base principal.,Crítico,id_usuario,U020,Revisar duplicidad del caso y mantener un único registro válido.
usuarios_mca,U020,U020,ID duplicado,El identificador del usuario aparece más de una vez en la base principal.,Crítico,id_usuario,U020,Revisar duplicidad del caso y mantener un único registro válido.
usuarios_mca,U003,U003,Edad fuera de rango,La edad registrada está fuera del rango esperado para el contexto simulado.,Crítico,edad,13,Verificar edad registrada y corregir si corresponde.
usuarios_mca,U008,U008,Edad fuera de rango,La edad registrada está fuera del rango esperado para el contexto simulado.,Crítico,edad,22,Verificar edad registrada y corregir si corresponde.
usuarios_mca,U011,U011,Comuna faltante,El usuario no tiene comuna registrada.,Medio,comuna,Sin información,Completar comuna para mejorar trazabilidad territorial.
usuarios_mca,U016,U016,Caso vigente sin profesional responsable,"El caso se encuentra vigente, pero no tiene profesional responsable asignado.",Crítico,profesional_responsable,Sin información,Asignar profesional responsable para seguimiento del caso.
usuarios_mca,U001,U001,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,50 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U007,U007,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,42 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U009,U009,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,54 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U010,U010,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,29 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U013,U013,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,44 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U014,U014,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,34 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U016,U016,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,36 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U018,U018,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,31 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U019,U019,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,48 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
